hypothesis,task,condition_A,condition_B,n_complete_pairs,wilcoxon_statistic,p_value_one_sided,rank_biserial_r,holm_bonferroni_rejected,interpretation
H1,T1,C4,C1+,30,84.0,0.360757,0.098039,False,Fail to reject H₀ at α=0.05 (Holm–Bonferroni corrected)
H1,T2,C4,C1+,30,83.0,0.022765,0.580952,False,Fail to reject H₀ at α=0.05 (Holm–Bonferroni corrected)
H1,T3,C4,C1+,26,15.0,0.21875,0.428571,False,Fail to reject H₀ at α=0.05 (Holm–Bonferroni corrected)
H2,T1,C4,C1,30,80.5,0.258532,0.183824,False,Fail to reject H₀ at α=0.05 (Holm–Bonferroni corrected)
H2,T2,C4,C1,30,63.0,0.233427,0.2,False,Fail to reject H₀ at α=0.05 (Holm–Bonferroni corrected)
H2,T3,C4,C1,26,0.0,1.0,-1.0,False,Fail to reject H₀ at α=0.05 (Holm–Bonferroni corrected)
H3,T1,C1+,C1,30,92.0,0.388015,0.076023,False,Fail to reject H₀ at α=0.05 (Holm–Bonferroni corrected)
H3,T2,C1+,C1,30,24.0,0.96875,-0.472527,False,Fail to reject H₀ at α=0.05 (Holm–Bonferroni corrected)
H3,T3,C1+,C1,26,1.0,0.9375,-0.8,False,Fail to reject H₀ at α=0.05 (Holm–Bonferroni corrected)
